P_u,M_u,V_u,f_c,F_y,t_req_2017,t_req_2023,delta_t,delta_t_pct,excentricidad
50.0,0.0,0,3.0,36,1.571348402636772,1.571348402636772,0.0,0.0,0.0
50.0,0.0,0,3.0,40,1.4907119849998591,1.4907119849998591,0.0,0.0,0.0
50.0,0.0,0,3.0,45,1.4054567378526126,1.4054567378526126,0.0,0.0,0.0
50.0,0.0,0,3.0,50,1.3333333333333328,1.3333333333333328,0.0,0.0,0.0
50.0,0.0,0,3.5,36,1.5713484026367717,1.5713484026367737,1.9984014443252818e-15,0.0,0.0
50.0,0.0,0,3.5,40,1.4907119849998591,1.4907119849998611,1.9984014443252818e-15,0.0,0.0
50.0,0.0,0,3.5,45,1.4054567378526124,1.4054567378526142,1.7763568394002505e-15,0.0,0.0
50.0,0.0,0,3.5,50,1.3333333333333328,1.3333333333333346,1.7763568394002505e-15,0.0,0.0
50.0,0.0,0,4.0,36,1.5713484026367703,1.57134840263677,-4.440892098500626e-16,-0.0,0.0
50.0,0.0,0,4.0,40,1.4907119849998578,1.4907119849998576,-2.220446049250313e-16,-0.0,0.0
50.0,0.0,0,4.0,45,1.4054567378526113,1.405456737852611,-2.220446049250313e-16,-0.0,0.0
50.0,0.0,0,4.0,50,1.3333333333333317,1.3333333333333313,-4.440892098500626e-16,-0.0,0.0
50.0,0.0,0,4.5,36,1.5713484026367739,1.5713484026367714,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,0,4.5,40,1.4907119849998614,1.490711984999859,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,0,4.5,45,1.4054567378526146,1.4054567378526122,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,0,4.5,50,1.3333333333333348,1.3333333333333324,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,0,5.0,36,1.571348402636773,1.57134840263677,-3.1086244689504383e-15,-0.0,0.0
50.0,0.0,0,5.0,40,1.4907119849998605,1.4907119849998576,-2.886579864025407e-15,-0.0,0.0
50.0,0.0,0,5.0,45,1.4054567378526137,1.405456737852611,-2.6645352591003757e-15,-0.0,0.0
50.0,0.0,0,5.0,50,1.333333333333334,1.3333333333333313,-2.6645352591003757e-15,-0.0,0.0
50.0,0.0,50,3.0,36,1.571348402636772,1.571348402636772,0.0,0.0,0.0
50.0,0.0,50,3.0,40,1.4907119849998591,1.4907119849998591,0.0,0.0,0.0
50.0,0.0,50,3.0,45,1.4054567378526126,1.4054567378526126,0.0,0.0,0.0
50.0,0.0,50,3.0,50,1.3333333333333328,1.3333333333333328,0.0,0.0,0.0
50.0,0.0,50,3.5,36,1.5713484026367717,1.5713484026367737,1.9984014443252818e-15,0.0,0.0
50.0,0.0,50,3.5,40,1.4907119849998591,1.4907119849998611,1.9984014443252818e-15,0.0,0.0
50.0,0.0,50,3.5,45,1.4054567378526124,1.4054567378526142,1.7763568394002505e-15,0.0,0.0
50.0,0.0,50,3.5,50,1.3333333333333328,1.3333333333333346,1.7763568394002505e-15,0.0,0.0
50.0,0.0,50,4.0,36,1.5713484026367703,1.57134840263677,-4.440892098500626e-16,-0.0,0.0
50.0,0.0,50,4.0,40,1.4907119849998578,1.4907119849998576,-2.220446049250313e-16,-0.0,0.0
50.0,0.0,50,4.0,45,1.4054567378526113,1.405456737852611,-2.220446049250313e-16,-0.0,0.0
50.0,0.0,50,4.0,50,1.3333333333333317,1.3333333333333313,-4.440892098500626e-16,-0.0,0.0
50.0,0.0,50,4.5,36,1.5713484026367739,1.5713484026367714,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,50,4.5,40,1.4907119849998614,1.490711984999859,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,50,4.5,45,1.4054567378526146,1.4054567378526122,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,50,4.5,50,1.3333333333333348,1.3333333333333324,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,50,5.0,36,1.571348402636773,1.57134840263677,-3.1086244689504383e-15,-0.0,0.0
50.0,0.0,50,5.0,40,1.4907119849998605,1.4907119849998576,-2.886579864025407e-15,-0.0,0.0
50.0,0.0,50,5.0,45,1.4054567378526137,1.405456737852611,-2.6645352591003757e-15,-0.0,0.0
50.0,0.0,50,5.0,50,1.333333333333334,1.3333333333333313,-2.6645352591003757e-15,-0.0,0.0
50.0,0.0,100,3.0,36,1.571348402636772,1.571348402636772,0.0,0.0,0.0
50.0,0.0,100,3.0,40,1.4907119849998591,1.4907119849998591,0.0,0.0,0.0
50.0,0.0,100,3.0,45,1.4054567378526126,1.4054567378526126,0.0,0.0,0.0
50.0,0.0,100,3.0,50,1.3333333333333328,1.3333333333333328,0.0,0.0,0.0
50.0,0.0,100,3.5,36,1.5713484026367717,1.5713484026367737,1.9984014443252818e-15,0.0,0.0
50.0,0.0,100,3.5,40,1.4907119849998591,1.4907119849998611,1.9984014443252818e-15,0.0,0.0
50.0,0.0,100,3.5,45,1.4054567378526124,1.4054567378526142,1.7763568394002505e-15,0.0,0.0
50.0,0.0,100,3.5,50,1.3333333333333328,1.3333333333333346,1.7763568394002505e-15,0.0,0.0
50.0,0.0,100,4.0,36,1.5713484026367703,1.57134840263677,-4.440892098500626e-16,-0.0,0.0
50.0,0.0,100,4.0,40,1.4907119849998578,1.4907119849998576,-2.220446049250313e-16,-0.0,0.0
50.0,0.0,100,4.0,45,1.4054567378526113,1.405456737852611,-2.220446049250313e-16,-0.0,0.0
50.0,0.0,100,4.0,50,1.3333333333333317,1.3333333333333313,-4.440892098500626e-16,-0.0,0.0
50.0,0.0,100,4.5,36,1.5713484026367739,1.5713484026367714,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,100,4.5,40,1.4907119849998614,1.490711984999859,-2.4424906541753444e-15,-0.0,0.0
50.0,0.0,100,4.5,45,1.4054567378526146,1.4054567378526122,-2.4424906541753444e-15,-0.0,0.0
